Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
5a99402f-41ab-6dde-f8ba-9a2b495afbbf,1991-04-27,,999-63-8249,S99956645,X83097310X,Mr.,Manuel,Felipe,Bustamante,,,S,white,hispanic,M,La Paz  Baja California  MX,810 Lubowitz Approach,Waltham,Massachusetts,Middlesex County,25017,02451,42.369883192356305,-71.19720638906449,6056.65,95221.01,20862
07f66484-7460-46dd-7612-994f71ef0170,1979-09-13,,999-34-8618,S99986252,X20673175X,Mr.,Alden,Donn,Stroman,,,M,white,nonhispanic,M,Medford  Massachusetts  US,396 Mraz Stravenue,Millis,Massachusetts,Norfolk County,,00000,42.206376856016306,-71.34879147110996,94023.93,27354.50,248749
d25d8197-53b6-dd2c-c74a-ac0c9659aa8e,2003-01-27,,999-53-5861,S99943256,X56543167X,Ms.,Azalee,Yael,MacGyver,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,127 Nienow Bridge Unit 13,North Andover,Massachusetts,Essex County,,00000,42.655155802036475,-71.12178611571875,70078.35,17604.10,141590
f73f65ff-894d-39c1-32a5-fd9b6dd8a5c7,1973-06-12,,999-83-5315,S99926569,X83168109X,Ms.,Eboni,Lissa,Heaney,,,S,white,nonhispanic,F,Princeton  Massachusetts  US,655 Koepp Green,Danvers,Massachusetts,Essex County,25009,01923,42.56244103210191,-70.99967949256917,497133.09,167824.96,106721
b5c5c221-7836-f966-6545-67f16ac8f8b7,1972-11-28,,999-11-1506,S99984663,X21959205X,Mr.,Nick,Tom,Kiehn,,,S,white,nonhispanic,M,Newton  Massachusetts  US,260 Frami Byway Apt 26,Ocean Grove,Massachusetts,Bristol County,,00000,41.69016358608407,-71.16304720326221,11375.89,179291.31,22078
4dd1fdee-5efa-ff91-5fe9-c7599f17c05f,1951-06-19,,999-54-4659,S99947706,X22149113X,Mrs.,Natalia,Lucia,Gamboa,,Anaya,M,asian,hispanic,F,Bogota  Bogota  CO,657 Strosin Drive,Somerville,Massachusetts,Middlesex County,25017,02145,42.39739054783732,-71.11830981018832,60282.47,1510041.03,22912
5d790064-16f3-4e2e-195d-dcf1f200d167,1968-12-17,,999-65-9033,S99977031,X1794069X,Mrs.,Corrie,Corene,Wisozk,,Cummings,D,black,nonhispanic,F,Revere  Massachusetts  US,703 Anderson Byway,Chicopee,Massachusetts,Hampden County,25013,01022,42.166145718611304,-72.52600557534008,333785.49,716722.26,148618
b5228d74-e0af-d647-4273-18f51cb89d64,1935-04-27,2013-07-15,999-19-8510,S99922566,X86524065X,Mrs.,Astrid,Corinna,Schmeler,,Russel,D,white,hispanic,F,Springfield  Massachusetts  US,952 Graham Hollow,Lenox,Massachusetts,Berkshire County,25003,01240,42.404425722045346,-73.23101889819362,694475.09,143368.30,59333
2ddf25a5-ac3e-b940-ce71-daba6d8e2cc7,2021-01-10,,999-11-7076,,,,Trudie,Aurelia,Thompson,,,,white,nonhispanic,F,Boston  Massachusetts  US,125 Sipes Corner,Saugus,Massachusetts,Essex County,25009,01906,42.514999379338406,-71.01228094776963,11133.64,4579.02,41889
11b30c68-ebb7-54b9-a628-43f6135b7ca7,2011-08-31,,999-76-7560,,,,Breann,,Tremblay,,,,black,nonhispanic,F,Woburn  Massachusetts  US,672 Lynch Mall Apt 65,Boston,Massachusetts,Suffolk County,25025,02203,42.31107198891552,-71.13114290864324,36518.42,1916.56,71106
ec37e945-8bd0-1b4c-b7c7-36a260f4f0d4,1997-12-11,,999-17-2283,S99946172,X24029876X,Ms.,Rhiannon,Synthia,Kutch,,,,white,nonhispanic,F,Arlington  Massachusetts  US,334 D'Amore Vista,Boston,Massachusetts,Suffolk County,25025,02151,42.309563642193844,-71.08432436811901,95809.55,50745.35,138370
fc7aff99-721f-fc8e-d847-68e92ea30623,1996-01-10,,999-75-4902,S99996351,X22003948X,Mrs.,Nilda,Johnny,Kerluke,,Powlowski,M,white,nonhispanic,F,Holliston  Massachusetts  US,689 Bergstrom Gateway,Danvers,Massachusetts,Essex County,25009,01937,42.598372866929566,-70.99150572119314,99248.34,161924.68,80482
6e896f7b-2039-49a4-b4fa-9395967ae5f2,2003-12-10,,999-76-6075,S99976310,X60620166X,Mr.,Isaiah,Donnie,Koepp,,,,black,nonhispanic,M,Whitinsville  Massachusetts  US,172 Wisoky Crossroad,South Hadley,Massachusetts,Hampshire County,,00000,42.24552374901785,-72.61028875396649,7736.28,634433.00,6252
69a188f6-6a32-6b36-8662-9cbab4a641cf,1991-08-03,,999-27-5186,S99925145,X82783462X,Mrs.,Katharina,Meredith,Turcotte,,Daugherty,M,white,nonhispanic,F,Acton  Massachusetts  US,822 Walter Haven Unit 13,Groton,Massachusetts,Middlesex County,25017,01450,42.651326592548834,-71.59301553588315,189194.96,900058.24,137770
a1ccc12b-453e-7b4f-104b-1baf4c31dab7,2012-05-17,,999-83-4756,,,,Elbert,,Mitchell,,,,white,nonhispanic,M,Boston  Massachusetts  US,124 Renner Underpass Suite 39,Wilbraham,Massachusetts,Hampden County,25013,01095,42.13452872701495,-72.42389161814609,45998.70,6122.88,563800
199cf35a-18ae-b17b-1f72-b8d1b91ff06f,2005-05-10,,999-62-1959,S99936235,,Ms.,Ellis,Reagan,Boyer,,,,white,nonhispanic,F,Canton  Massachusetts  US,420 Grimes Track,Beverly,Massachusetts,Essex County,25009,01915,42.58868370213572,-70.82216046743733,17434.26,319032.06,960590
029697cf-3d18-e8a3-b593-f8f9a8d33638,1981-12-06,,999-21-4023,S99918736,X40558821X,Mr.,Kelley,Rolando,Kling,,,M,white,nonhispanic,M,Deerfield  Massachusetts  US,359 Schroeder Road,Agawam,Massachusetts,Hampden County,25013,01001,42.07881271327555,-72.59475586561716,98569.82,906.65,128139
4ea213bc-0ad8-3bd9-4f6d-9b511b629d2e,1960-06-13,,999-72-7923,S99982074,X2857303X,Mr.,Gustavo,Emmett,Hackett,,,M,white,nonhispanic,M,Waltham  Massachusetts  US,180 Bosco Mill Unit 34,Wakefield,Massachusetts,Middlesex County,25009,01940,42.549725905973574,-71.01887122838151,147749.44,131495.54,125121
14d189dc-52f1-b13a-db1c-baabe854aafd,1995-03-08,,999-18-7007,S99937054,X71406063X,Mrs.,Kia,Shiloh,Klein,,Gleichner,M,white,nonhispanic,F,Webster  Massachusetts  US,432 Ruecker Overpass,Ashland,Massachusetts,Middlesex County,,00000,42.27321520223121,-71.46414675918491,98961.00,402371.91,590066
ac8b2df7-80d7-54bb-0242-6041355b157a,1981-06-30,,999-81-7736,S99958378,X41031312X,Mrs.,Alexa,Susy,Schinner,,Doyle,M,white,nonhispanic,F,Southampton  Massachusetts  US,803 Jaskolski Alley Suite 25,Framingham,Massachusetts,Middlesex County,25017,01701,42.27756705313871,-71.41643351066855,154328.13,417463.65,122183
1380ea01-0ae3-b7ef-7ee7-43f74ec2d5eb,1935-04-27,,999-82-1733,S99994476,X42707022X,Mrs.,Marion,James,Effertz,,Smitham,D,white,hispanic,F,Bellingham  Massachusetts  US,603 Johnson Route Apt 31,Lenox,Massachusetts,Berkshire County,25003,01240,42.397552062056725,-73.28872327099415,976578.28,839557.41,59333
0e9eb698-b5c2-326a-df24-60b5688b7c95,2018-02-25,,999-68-5830,,,,Jessica,Tari,Upton,,,,white,nonhispanic,F,Yekaterinburg  Sverdlovsk Oblast  RU,804 Prohaska Wall Suite 22,Milford,Massachusetts,Worcester County,25027,01757,42.147652919066054,-71.50207968204825,17130.61,3975.62,50551
bbb8cb65-24c6-a123-e2b8-6372d8570726,2020-05-28,,999-36-6952,,,,Henry,Micheline,Reichert,,,,white,nonhispanic,F,West Springfield  Massachusetts  US,468 Yost Underpass,Boston,Massachusetts,Suffolk County,25025,02134,42.31728107722944,-71.12074835124675,1027.78,19556.61,8652
c1f7c94c-2b5d-81cc-023e-23935be77a32,1956-09-16,,999-17-6665,S99926134,X10791872X,Mr.,Sherman,,West,,,S,black,nonhispanic,M,Agawam  Massachusetts  US,616 Lueilwitz Bridge,Worcester,Massachusetts,Worcester County,25027,01545,42.22847422901977,-71.78802615307627,23506.79,489640.26,6592
344cadf2-aa8b-f48a-0822-b2fccc2f6b0a,1969-10-18,,999-80-6128,S99974311,X7741069X,Ms.,Deon,Rivka,Reinger,,,S,white,nonhispanic,F,Haverhill  Massachusetts  US,256 Wunsch Drive Unit 57,Melrose,Massachusetts,Middlesex County,25017,02176,42.4789894087395,-71.0343769508297,13533.26,375622.50,15532
9738300b-f30d-b19a-2d0c-a6a6edabe95c,1971-12-11,,999-23-9067,S99973465,X54578538X,Ms.,Christy,Ngan,Romaguera,,,S,asian,nonhispanic,F,Chongqing  Chongqing Municipality  CN,544 Klein Grove,Stoughton,Massachusetts,Norfolk County,,00000,42.15411982486585,-71.12348496907683,427966.69,172502.56,117806
5696e367-45f0-bab9-db78-5f56229073b6,1956-05-17,,999-51-8238,S99946783,X44447314X,Ms.,Elida,Alecia,Dare,,,S,white,nonhispanic,F,Fall River  Massachusetts  US,887 Flatley Fork,East Longmeadow,Massachusetts,Hampden County,,00000,42.05152872832247,-72.47481008224973,1218535.44,441156.43,81108
935d75b8-cf56-bc2a-d59b-079ad73d7bb0,1958-01-26,,999-91-9293,S99964820,X77058488X,Mrs.,Laila,Belen,Klein,,Stamm,M,white,nonhispanic,F,Deerfield  Massachusetts  US,810 Smitham Neck,Grafton,Massachusetts,Worcester County,,00000,42.160294678182275,-71.71677187296976,274566.14,840147.37,162850
957542fd-86f3-2c29-3210-c4373c591f1a,1952-12-02,,999-14-5386,S99943993,X22432166X,Mr.,Floyd,Evan,King,,,S,black,nonhispanic,M,Lawrence  Massachusetts  US,696 Berge Neck Apt 94,Newton,Massachusetts,Middlesex County,25017,02465,42.337488203863906,-71.20072158738061,15261.36,281962.78,16902
14f5188c-70db-df0d-486d-38f5eab0fe09,2015-05-31,,999-91-2372,,,,Jesica,,Carroll,,,,other,nonhispanic,F,Boston  Massachusetts  US,940 Wolff Park,Longmeadow,Massachusetts,Hampden County,25013,01106,42.078797162715155,-72.56695589232483,42435.59,36911.09,180816
9e394e60-36f5-fef8-33ec-c250b4a769df,1987-01-14,,999-76-9609,S99917411,X11494244X,Mrs.,Shenita,Jone,Cruickshank,,Abernathy,M,black,nonhispanic,F,Natick  Massachusetts  US,296 Wilderman Skyway Apt 6,Boston,Massachusetts,Suffolk County,25025,02113,42.344425332479396,-71.10281244204882,161837.15,1140496.23,133835
7f9ed301-5fdb-3d9e-a5ae-94f99a84c69a,1966-11-09,,999-35-1842,S99935264,X56352128X,Ms.,Aretha,Etsuko,Connelly,,,S,white,nonhispanic,F,Millbury  Massachusetts  US,761 Abernathy Union Unit 81,Haverhill,Massachusetts,Essex County,25009,01835,42.738954726359054,-71.1025665160441,1078682.62,610126.60,54363
37526715-57fc-c822-f835-37c583cb5ed4,1990-07-31,,999-50-3972,S99933094,X22925102X,Mrs.,Leanora,Angelita,Olson,,Stamm,M,black,nonhispanic,F,Boston  Massachusetts  US,446 Grant Heights Unit 23,Hopkinton,Massachusetts,Middlesex County,25017,01748,42.20437891528374,-71.49989441527565,289073.78,495815.15,93601
d533584f-38e5-725d-ddf6-04ef2023b192,2018-05-10,,999-66-2055,,,,Annamarie,Kaycee,Rodriguez,,,,white,nonhispanic,F,Hampden  Massachusetts  US,459 Bode Underpass,Lakeville,Massachusetts,Plymouth County,,00000,41.80154502708485,-70.93349162511564,18569.02,475.98,106772
01756a31-66c6-bb37-4054-1a3873160148,1965-05-11,,999-20-4921,S99974668,X72649741X,Ms.,Mamie,Esmeralda,Fadel,,,S,other,nonhispanic,F,Riyadh  Riyadh  SA,558 Conn Spur,South Ashburnham,Massachusetts,Worcester County,,00000,42.66961403073965,-71.9078990724581,21327.62,1360111.86,16049
f243475f-0f04-24b6-f59a-20835b78ff93,2023-04-17,,999-84-6629,,,,Abdul,Arturo,Greenfelder,,,,white,hispanic,M,Nahant  Massachusetts  US,795 Schimmel Hollow Unit 35,Somerville,Massachusetts,Middlesex County,25017,02155,42.33636561818081,-71.100797123378,6242.22,0.00,175801
605391f8-dfe5-2527-32ac-f4d28dc09c48,1972-01-19,,999-91-7854,S99957578,X46059992X,Mr.,Joesph,,Huels,,,S,white,nonhispanic,M,Fitchburg  Massachusetts  US,378 Pagac Burg Apt 46,Boston,Massachusetts,Suffolk County,25025,02121,42.389810090883586,-71.07782574072756,18176.01,270483.66,1678
de122ab5-8d09-fb08-7308-46482c7d6b03,2012-10-10,,999-80-8843,,,,Tam,Vella,Parisian,,,,white,nonhispanic,F,Fitchburg  Massachusetts  US,282 Koch Knoll Suite 96,Arlington,Massachusetts,Middlesex County,25017,02476,42.44921907571505,-71.18033809448482,49236.23,11396.42,50847
178b704d-98a2-778c-eada-1a60af03eff8,2009-07-13,,999-48-2094,,,,Guy,Amado,Considine,,,,white,hispanic,M,Wellesley  Massachusetts  US,609 Hoppe Mews,Newton,Massachusetts,Middlesex County,25017,02466,42.34521054381508,-71.18095876245403,66239.56,303115.69,898832
aa3f6640-5660-d574-2967-2066c84bbd33,2003-06-10,,999-39-5533,S99921749,X41199796X,Ms.,Annemarie,,Krajcik,,,,white,nonhispanic,F,Malden  Massachusetts  US,349 Waters Passage,Framingham,Massachusetts,Middlesex County,25017,01701,42.33650504254659,-71.42889547035449,5650.00,377067.45,13422
6db5ce31-5202-a26f-5543-bac12293dbef,1965-08-04,,999-87-3137,S99961560,X49244979X,Mr.,August,Bert,Cremin,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,942 Herman Station,Ashburnham,Massachusetts,Worcester County,,00000,42.65313610370708,-71.96796220229562,144194.68,17305.20,188494
391fba11-1470-e958-c3ab-1ec432c323e2,2000-08-04,,999-32-5493,S99921077,X27104024X,Ms.,Lanita,Roma,Gutmann,,,,white,nonhispanic,F,Middleborough  Massachusetts  US,686 Smitham Common Suite 27,New Bedford,Massachusetts,Bristol County,25005,02745,41.630789324472346,-70.9538535507694,85588.33,210636.99,92434
67d3a16a-56d3-2a68-a1e2-0c9eeed83195,1971-02-11,,999-80-6574,S99943464,X85532404X,Mrs.,Mariette,Janyce,Hyatt,,Bahringer,M,asian,nonhispanic,F,Macau  Macao Special Administrative Region of the People's Republic of China  CN,409 Jacobi Brook Apt 62,Canton,Massachusetts,Norfolk County,,00000,42.20895800408006,-71.09728408297124,201822.30,1258109.95,242802
16225dc0-408d-85a9-fcce-fcf6c99b9424,1960-10-04,,999-12-8622,S99939965,X13461633X,Mr.,Deon,,Considine,,,D,white,nonhispanic,M,Chicopee  Massachusetts  US,383 Boehm Ville,Greenfield,Massachusetts,Franklin County,25011,01301,42.575707484222676,-72.55536233585616,50401.69,1476636.62,21140
deeedc55-044a-2fa3-f98f-e24a2941f369,1957-09-21,,999-49-9553,S99954701,X75909587X,Mrs.,Alease,Iesha,Zboncak,,Smitham,M,white,hispanic,F,Westwood  Massachusetts  US,532 Waters Orchard Unit 7,Southborough,Massachusetts,Worcester County,,00000,42.29845345638175,-71.48280463377006,1178868.11,118181.02,120139
b75aa12c-a0ca-48a7-7d75-94634896d144,2003-09-22,,999-77-5074,S99918821,X66440869X,Ms.,Gennie,Chara,Hills,,,,black,nonhispanic,F,Lawrence  Massachusetts  US,469 Aufderhar Dam Suite 8,Boston,Massachusetts,Suffolk County,25025,02111,42.382572906522924,-71.07569895522856,6609.44,251147.06,1096
f7cf2101-2157-204a-d544-65be43a04019,1965-12-10,,999-29-7549,S99953796,X69628065X,Ms.,Savannah,,McClure,,,S,white,nonhispanic,F,Framingham  Massachusetts  US,522 Cartwright Center,Northborough,Massachusetts,Worcester County,25027,01532,42.28547644652737,-71.67554512968533,1237146.47,1072976.26,56475
a1302c17-73cd-82cf-2dcd-8a91ea1274b8,1990-09-01,,999-19-6939,S99972749,X32342088X,Ms.,Bea,Kendal,Howe,,,S,white,nonhispanic,F,Newton  Massachusetts  US,455 Pfannerstill Stravenue,Lynn,Massachusetts,Essex County,25009,01940,42.44442569037048,-70.93989090299733,173848.21,254639.98,53505
e22f34c7-818e-084c-a278-d875bc9dc724,1923-11-16,,999-61-5820,S99991213,X81434574X,Ms.,Lillian,,DuBuque,,,S,white,nonhispanic,F,Saugus  Massachusetts  US,890 Stoltenberg Meadow,Haverhill,Massachusetts,Essex County,25009,01835,42.7788902369776,-71.12049288095864,354647.87,2141751.07,131834
dbe27968-f627-89f4-b62e-f91cc835ccc3,2004-10-30,,999-62-9936,S99914217,X41609767X,Mr.,Damien,Ismael,Williamson,,,,white,nonhispanic,M,Tyngsborough  Massachusetts  US,920 Walter Ranch,North Amherst,Massachusetts,Hampshire County,25015,01059,42.37348775463326,-72.55567306240641,86493.54,593289.55,186026
445f6f86-4b5c-54b7-b068-2910a5052419,1953-06-21,,999-99-6486,S99946708,X32795248X,Mr.,Theodore,Winfred,O'Keefe,,,W,white,nonhispanic,M,Braintree  Massachusetts  US,197 Trantow Vista Apt 36,Gill,Massachusetts,Franklin County,,00000,42.64441294793467,-72.54717003163618,17124.54,922136.20,19308
b5486770-2849-a5ae-20a9-bdb00a012d8f,1955-02-04,,999-58-7763,S99919198,X64035788X,Mr.,Harley,Garland,Klein,,,S,asian,nonhispanic,M,Cambridge  Massachusetts  US,210 Funk Club Unit 4,Lowell,Massachusetts,Middlesex County,25017,01852,42.6740150907491,-71.35797409777282,133664.01,180289.22,25237
2c64c9ba-5dc4-7eee-05fc-074a32b5efb0,2013-08-06,,999-48-9848,,,,Milo,,Smitham,,,,black,nonhispanic,M,Wilbraham  Massachusetts  US,646 Pfannerstill Promenade Suite 42,Lowell,Massachusetts,Middlesex County,25017,01852,42.589005788948555,-71.33782095551136,19887.42,15507.91,92694
5083b23d-091b-832c-4b2d-7bcf5ad3d29e,1991-01-22,,999-19-6433,S99913713,X21152324X,Ms.,Dorotea,Daniela,Ramírez,,,S,white,hispanic,F,Salisbury  Saint Joseph Parish  DM,148 Friesen Dam,Ashland,Massachusetts,Middlesex County,,00000,42.29118640055995,-71.46836565863221,413171.05,991821.31,99151
6f04bec9-2df1-1a64-1ce2-e042244799f0,1954-11-27,,999-21-7386,S99923123,X28999X,Mrs.,Idell,Berenice,Cormier,,Torphy,M,white,nonhispanic,F,Sherborn  Massachusetts  US,592 McGlynn Mission,Rockland,Massachusetts,Plymouth County,,00000,42.17626720570798,-70.92482828743296,394652.31,821765.61,147093
aa928ce6-c7a1-bb51-5339-5c8586814943,1959-12-23,,999-19-9727,S99935744,X70729188X,Mrs.,Dianna,Letisha,Parisian,,Gibson,D,white,nonhispanic,F,Springfield  Massachusetts  US,699 Kiehn Rue Suite 55,Bourne,Massachusetts,Barnstable County,25001,02532,41.79130416701152,-70.62110062129847,382726.11,828967.06,465063
b07fb8e8-a3ff-b0c6-810a-4522bf83e506,1998-05-25,,999-59-3451,S99998382,X19804307X,Ms.,Felicita,Sina,Stokes,,,,white,nonhispanic,F,Barnstable  Massachusetts  US,273 Hayes Burg Apt 4,North Seekonk,Massachusetts,Bristol County,,00000,41.87218069605855,-71.32846966556076,158914.44,394720.44,145396
ece00f3a-450d-5270-d4b7-65ef68648ea9,2006-06-15,,999-10-7962,S99946338,,Mr.,Neal,Scotty,McCullough,,,,white,nonhispanic,M,Everett  Massachusetts  US,948 Conn Lock,Newburyport,Massachusetts,Essex County,25009,01950,42.79752310391536,-70.80575446265561,27725.32,27362.08,157127
